en,zh-tw,pos,description
must-use,強制使用,adjective,適用於 WordPress 提及的 Must Use Plugin。
Myanmar,緬甸,noun,語言名稱，介面中稱文不稱語
Myanmar (Burmese),緬甸文 (緬甸),noun,語言名稱，介面中稱文不稱語
MySQL,MySQL,noun,資料庫名稱
Nairobi,奈洛比,noun,洲、國家/地區、城市名稱
Namibian dollar,納米比亞元,noun,貨幣名稱
Nassau,拿索,noun,洲、國家/地區、城市名稱
Nauru,諾魯,noun,洲、國家/地區、城市名稱
Nauru,諾魯文,noun,語言名稱，介面中稱文不稱語
Navajo,納瓦荷文,noun,語言名稱，介面中稱文不稱語
Navigation menu,導覽選單,noun,
Ndjamena,恩加美納,noun,洲、國家/地區、城市名稱
Ndonga,恩東加文,noun,語言名稱，介面中稱文不稱語
Nepalese rupee,尼泊爾盧比,noun,貨幣名稱
Nepali,尼泊爾文,noun,語言名稱，介面中稱文不稱語
Netherlands Antillean guilder,荷屬安的列斯盾,noun,貨幣名稱
Network,多站網路,noun,適用於 WordPress 多站網路相關內容
network,網路,noun,
new,新增,verb,
New Salem,新薩勒姆,noun,洲、國家/地區、城市名稱
New Taiwan dollar,新台幣,noun,貨幣名稱
New York,紐約,noun,洲、國家/地區、城市名稱
New Zealand dollar,紐西蘭元,noun,貨幣名稱
next page,下一頁,noun,
NGINX,NGINX,noun,網頁伺服器名稱
Niamey,尼阿美,noun,洲、國家/地區、城市名稱
Nias,尼亞斯文,noun,語言名稱，介面中稱文不稱語
Nicaraguan c&oacute;rdoba,尼加拉瓜科多巴,noun,貨幣名稱
Nickname,暱稱,noun,
Nicosia,尼古西亞,noun,洲、國家/地區、城市名稱
Nigerian naira,奈及利亞奈拉,noun,貨幣名稱
Nipigon,尼皮貢,noun,洲、國家/地區、城市名稱
Niue,紐威島,noun,
no title,無標題,noun,
Nome,諾姆,noun,洲、國家/地區、城市名稱
nonce,單次有效隨機碼,noun,
Norfolk,諾福克,noun,洲、國家/地區、城市名稱
Noronha,諾拉哈,noun,洲、國家/地區、城市名稱
North,北領地,noun,洲、國家/地區、城市名稱
North Dakota,北達科他,noun,洲、國家/地區、城市名稱
North Korean won,朝鮮圓,noun,貨幣名稱
North Ndebele,北恩德比利文,noun,語言名稱，介面中稱文不稱語
Northern Sami,北沙米文,noun,語言名稱，介面中稱文不稱語
Norwegian,挪威文,noun,語言名稱，介面中稱文不稱語
Norwegian (Bokmål),挪威文 (巴克摩),noun,語言名稱，介面中稱文不稱語
Norwegian (Nynorsk),挪威文 (尼洛斯克),noun,語言名稱，介面中稱文不稱語
Norwegian Bokmal,挪威文 (巴克摩),noun,語言名稱，介面中稱文不稱語
Norwegian krone,挪威克朗,noun,貨幣名稱
Norwegian Nynorsk,挪威文 (尼洛斯克),noun,語言名稱，介面中稱文不稱語
notation,標記法,noun,
notification,通知,noun,
Nouakchott,諾克少,noun,洲、國家/地區、城市名稱
Noumea,諾米亞,noun,洲、國家/地區、城市名稱
Novokuznetsk,新庫茲涅茨克,noun,洲、國家/地區、城市名稱
Novosibirsk,新西伯利亞,noun,洲、國家/地區、城市名稱
NSW,新南威爾斯省,noun,洲、國家/地區、城市名稱
numeric,整數,noun,
Nuuk,努克,noun,洲、國家/地區、城市名稱
object,物件,noun,適用於程式開發
object cache,物件快取,noun,
Occitan,奧西坦文,noun,語言名稱，介面中稱文不稱語
oEmbed,oEmbed,noun,
offset,偏移量,noun,
offset,位移,noun,
Ojibwa,歐及布威文,noun,語言名稱，介面中稱文不稱語
Ojinaga,奧希納加,noun,洲、國家/地區、城市名稱
Omani rial,阿曼里亞爾,noun,貨幣名稱
Omsk,鄂木斯克,noun,洲、國家/地區、城市名稱
one-time,單次,adjective,
one-time,買斷型,adjective,適用於付費方式
oops,很抱歉,noun,
opacity,不透明度,noun,
open source,開放原始碼,noun,
Openverse,Openverse,noun,目前由 Automattic 管理、維護、開發、更新的創用 CC 授權媒體檔案搜尋引擎。
operating system,作業系統,noun,
operation system,作業系統,noun,
optimization,最佳化,noun,
optimize,最佳化,noun,
option,選項,noun,
Oral,烏拉爾,noun,洲、國家/地區、城市名稱
Oriya,歐利亞文,noun,語言名稱，介面中稱文不稱語
Oromo,奧羅蒙文,noun,語言名稱，介面中稱文不稱語
OS,作業系統,noun,一般來說，OS 會是 Content Management System (作業系統) 的縮寫
Oslo,奧斯陸,noun,洲、國家/地區、城市名稱
Ossetian,奧塞提文,noun,語言名稱，介面中稱文不稱語
Ossetic,奧塞提文,noun,語言名稱，介面中稱文不稱語
Ouagadougou,瓦加杜古,noun,洲、國家/地區、城市名稱
outdent,凸排,verb,
outline,大綱,noun,
outline,外框,noun,適用於網頁設計
outline view,大綱檢視,noun,適用於檢視方式名稱
overlay,覆疊,verb,
overview,概觀,noun,
overview,總覽,noun,
Pacific,太平洋,noun,洲、國家/地區、城市名稱
package,套件,noun,
package,封裝,noun,
package,封裝,verb,
packager,封裝工具,noun,
padding,邊框間距,noun,
page,頁面,noun,適用於確定 Page 所指確實是 [頁面] 內容類型時
page builder,頁面編輯器,noun,
Pago Pago,帕哥帕哥,noun,洲、國家/地區、城市名稱
Pakistani rupee,巴基斯坦盧比,noun,貨幣名稱
Palau,帛琉,noun,洲、國家/地區、城市名稱
Pali,帕里文,noun,語言名稱，介面中稱文不稱語
Palmer,帕麥,noun,洲、國家/地區、城市名稱
Panama,巴拿馬,noun,洲、國家/地區、城市名稱
Panamanian balboa,巴拿馬巴波亞,noun,貨幣名稱
Pangnirtung,皮納唐,noun,洲、國家/地區、城市名稱
Panjabi,旁遮普文,noun,語言名稱，介面中稱文不稱語
Panjabi (India),旁遮普文 (印度),noun,語言名稱，介面中稱文不稱語
Papua New Guinean kina,巴布亞紐幾內亞基那,noun,貨幣名稱
Paraguayan guaran&iacute;,巴拉圭瓜拉尼,noun,貨幣名稱
parallax,視差滾動,noun,
Paramaribo,巴拉馬利波,noun,洲、國家/地區、城市名稱
parameter,參數,noun,
parent,上層,adjective,
parent theme,上層佈景主題,noun,
Paris,巴黎,noun,洲、國家/地區、城市名稱
parked domain,存放網域,noun,存放網域或只是用來預留網址的網站，其中顯示「建置中」或「即將上線」等類似訊息。
parse,剖析,verb,
parser,剖析器,noun,
part,組件,noun,適用於區塊編輯器、網站編輯器相關內容
Pashto,普什圖文,noun,語言名稱，介面中稱文不稱語
passkey,通行金鑰,noun,Microsoft 官方譯文 (建議採用)
passkey,密碼金鑰,noun,Google 官方譯文
password protected,受密碼保護,adjective,
passwordless,無密碼,adjective,
path,路徑,noun,
pattern,區塊版面配置,noun,適用於區塊編輯器及全站編輯相關內容
payment gateway,付款入口,noun,
PChome,PChome,noun,
PChome,網路家庭,noun,
peak,尖峰,adjective,
pending,待審閱,adjective,適用於各種發佈狀態
period,句號,noun,適用於標點符號 .
period,週期,noun,
period,期間,noun,
permalink,永久連結,noun,Google 台灣官方譯文，適用於搜尋引擎相關內容及核心程式
permanent,永久,adjective,
permanently,永久,adverb,
permission,權限,noun,
Persian,波斯文,noun,語言名稱，介面中稱文不稱語
Persian (Afghanistan),波斯文 (阿富汗),noun,語言名稱，介面中稱文不稱語
persistent object cache,持續物件快取,noun,
Perth,伯斯,noun,洲、國家/地區、城市名稱
Peruvian nuevo sol,秘魯新索爾,noun,貨幣名稱
Petersburg,聖彼得堡,noun,洲、國家/地區、城市名稱
Philippine peso,菲律賓披索,noun,貨幣名稱
phishing,網路釣魚,noun,適用於網際網路行為
Phnom Penh,金邊,noun,洲、國家/地區、城市名稱
Phoenix,鳳凰城,noun,洲、國家/地區、城市名稱
photo,照片,noun,
PHP,PHP,noun,
PHP extension,PHP 擴充功能,noun,
physical,實體,adjective,
picker,選擇器,noun,
picture,圖片,noun,
pin,釘選,verb,
ping,自動通知,verb,
pingback,自動引用通知,noun,
Pinterest,Pinterest,noun,社交網路服務平台名稱
Pitcairn,皮特康群島,noun,洲、國家/地區、城市名稱
Pixnet,痞客邦,noun,
Pixnet,Pixnet,noun,
placeholder,預留位置,noun,
please try again,請再試一次,noun,
please wait,請稍候,verb,
plugin,外掛,noun,
plugin directory,外掛目錄,noun,
plugin name,外掛名稱,noun,
podcast,podcast,noun,
Podgorica,波德戈里察,noun,洲、國家/地區、城市名稱
Pohnpei,波納佩島,noun,洲、國家/地區、城市名稱
policy,政策,noun,
Polish,波蘭文,noun,語言名稱，介面中稱文不稱語
Polish z&#x142;oty,波蘭茲羅提,noun,貨幣名稱
Ponape,波納佩島,noun,洲、國家/地區、城市名稱
Pontianak,坤甸,noun,洲、國家/地區、城市名稱
pool,集區,noun,適用於程式開發
port,連接埠,noun,適用於各種裝置
port,通訊埠,noun,適用於通訊協定
Port Moresby,莫爾斯貝港,noun,洲、國家/地區、城市名稱
Port of Spain,西班牙港,noun,洲、國家/地區、城市名稱
Port-au-Prince,太子港,noun,洲、國家/地區、城市名稱
portfolio,作品集,noun,
Porto Acre,亞克港,noun,洲、國家/地區、城市名稱
Porto Velho,韋柳港,noun,洲、國家/地區、城市名稱
Porto-Novo,新港,noun,洲、國家/地區、城市名稱
Portuguese,葡萄牙文,noun,語言名稱，介面中稱文不稱語
Portuguese (Angola),葡萄牙文 (安哥拉),noun,語言名稱，介面中稱文不稱語
Portuguese (Brazil),葡萄牙文 (巴西),noun,語言名稱，介面中稱文不稱語
Portuguese (Portugal),葡萄牙文 (葡萄牙),noun,語言名稱，介面中稱文不稱語
"Portuguese (Portugal, AO90)",葡萄牙文 (葡萄牙，AO90),noun,語言名稱，介面中稱文不稱語
post,文章,noun,適用於確定 Post 所指確實是 [文章] 內容類型時
post editor,內容編輯器,noun,
post format,文章格式,noun,
post status,內容發佈狀態,noun,
post thumbnail,內容縮圖,noun,
post type,內容類型,noun,
postfix,後置詞,noun,
Pound sterling,英鎊,noun,貨幣名稱
Powered by WordPress,本站採用 WordPress 建置,verb,
Prague,布拉格,noun,洲、國家/地區、城市名稱
preference,偏好設定,noun,
prefix,前置詞,noun,
preload list,預載清單,noun,
preloader,預先載入程式,noun,
preset,預設,adjective,
preset,預設集,noun,
press,按下,verb,操作鍵盤、滑鼠及螢幕
previous page,上一頁,noun,
privacy policy,隱私權政策,noun,
processor,處理器,noun,
prod,正式環境,noun,如果確定是 Production 的簡寫，則適用於網站建置
production,正式環境,noun,適用於網站建置
profile,個人資料,noun,
profiler,分析工具,noun,
profiling,分析,noun,
promo code,促銷代碼,noun,
promotion code,促銷代碼,noun,
protect,保護,verb,
protection,保護,noun,
protocol,通訊協定,noun,
publish,發佈,verb,
Puerto Rico,波多黎各,noun,洲、國家/地區、城市名稱
pull request,提取要求,noun,適用於程式開發及 Git 相關內容
Punjabi,旁遮普文,noun,語言名稱，介面中稱文不稱語
Punta Arenas,蓬塔阿雷納斯,noun,洲、國家/地區、城市名稱
Pure CSS,Pure CSS,noun,
purpose,目的,noun,
Pyongyang,平壤,noun,洲、國家/地區、城市名稱
Qatar,卡達,noun,洲、國家/地區、城市名稱
Qatari riyal,卡達里亞爾,noun,貨幣名稱
Qostanay,庫斯塔奈,noun,洲、國家/地區、城市名稱
QR Code,QR 圖碼,noun,
Quechua,蓋楚瓦文,noun,語言名稱，介面中稱文不稱語
Queensland,昆士蘭省,noun,洲、國家/地區、城市名稱
query,查詢,noun,
quota,配額,noun,
Qyzylorda,克孜勒奧爾達,noun,洲、國家/地區、城市名稱
radio button,選項按鈕,noun,
Raeto-Romance,里托羅曼斯文,noun,語言名稱，介面中稱文不稱語
Rainy River,雷尼河區,noun,洲、國家/地區、城市名稱
Rangoon,仰光,noun,洲、國家/地區、城市名稱
Rankin Inlet,蘭金音萊特,noun,洲、國家/地區、城市名稱
Rarotonga,拉洛東加島,noun,洲、國家/地區、城市名稱
real-time,即時,adjective,
Recife,累西腓,noun,洲、國家/地區、城市名稱
record,記錄,noun,
recover,復原,verb,
recovery,復原,noun,
recovery code,復原代碼,noun,
recovery mode,復原模式,noun,
redirect,重新導向,verb,
redirection,重新導向,noun,
refactor,重構,verb,
refresh,重新整理,verb,
Regina,雷吉納,noun,洲、國家/地區、城市名稱
register,註冊,verb,
registered trademark,註冊商標,noun,
registration,註冊,noun,
regular expression,規則運算式,noun,適用於程式開發
regular price,原價,noun,
relative path,相對路徑,noun,
remove,移除,verb,
render,轉譯,verb,
render,轉譯,verb,適用於程式開發
render,轉譯,noun,適用於程式開發
rep,代表,noun,在外掛目錄或佈景主題中，Rep 通常是 Representative (代表) 的縮寫。舉例來說，Support rep 或 Support Representative 即為「技術支援代表」。
repo,存放庫,noun,在外掛目錄及佈景主題目錄中， repo 是 Repository (存放庫) 的縮寫。
repository,存放庫,noun,適用於 SVN、Git 或 GitHub
representative,代表,noun,範例：Sales Representative 為「銷售代表」。
request,要求,noun,
requirement,需求,noun,
requirement,要求,noun,
reset,重設,verb,
Resolute,努納武特,noun,洲、國家/地區、城市名稱
response code,回應碼,noun,
responsive,回應式,noun,
responsive wed design,回應式網頁設計,noun,
result set,結果集,noun,
Reunion,留尼旺,noun,洲、國家/地區、城市名稱
Reusable Block,可重複使用區塊,noun,
reusable block,可重複使用區塊,noun,適用於區塊編輯器及全站編輯相關內容
reverse proxy,反向 Proxy,noun,
revision,內容修訂,noun,
revoke,撤銷,verb,
rewrite,重新寫入,verb,
rewrite rule,重新寫入規則,noun,
Reykjavik,雷克雅維克,noun,洲、國家/地區、城市名稱
rich snippet,複合式摘要,noun,
Riga,里加,noun,洲、國家/地區、城市名稱
right arrow key,向右鍵,noun,鍵盤按鍵名稱
Right to Left,從右至左,noun,文字方向
right-click,點擊右鍵,verb,操作鍵盤、滑鼠及螢幕
Rio Branco,里約布蘭科,noun,洲、國家/地區、城市名稱
Rio Gallegos,里奧加耶戈斯,noun,洲、國家/地區、城市名稱
Riyadh,利雅德,noun,洲、國家/地區、城市名稱
robot,漫遊器,noun,Google 台灣官方譯文，適用於搜尋引擎相關內容
Rohingya,羅興亞文,noun,語言名稱，介面中稱文不稱語
Romanian,羅馬尼亞文,noun,語言名稱，介面中稱文不稱語
Romanian leu,羅馬尼亞列伊,noun,貨幣名稱
Rome,羅馬,noun,洲、國家/地區、城市名稱
Rosario,羅沙略,noun,洲、國家/地區、城市名稱
Rothera,羅瑟拉站,noun,洲、國家/地區、城市名稱
routine,常式,noun,
row,列,noun,
row,資料列,noun,
RSS,RSS,noun,
RTL,RTL,noun,文字方向 Right to Left (從右到左) 的縮寫，例如阿拉伯文、希伯來文
RTL,從右至左,noun,文字方向 Right to Left (從右到左) 的縮寫，例如阿拉伯文、希伯來文
rule set,規則集,noun,
rule type,規則型別,noun,
ruleset,規則集,noun,
runtime,執行階段,noun,
Russian,俄文,noun,語言名稱，介面中稱文不稱語
Russian ruble,俄羅斯盧布,noun,貨幣名稱
Rwandan franc,盧安達法郎,noun,貨幣名稱
RWD,RWD,noun,RWD 是 Responsive Wed Design (回應式網頁設計) 的縮寫
S&atilde;o Tom&eacute; and Pr&iacute;ncipe dobra,聖多美和普林西比多布拉,noun,貨幣名稱
Saigon,胡志明市,noun,洲、國家/地區、城市名稱
Saint Helena pound,聖赫勒拿島鎊,noun,貨幣名稱
Saipan,塞班島,noun,洲、國家/地區、城市名稱
Sakha,薩哈文,noun,語言名稱，介面中稱文不稱語
Sakhalin,庫頁島,noun,洲、國家/地區、城市名稱
sale price,特價,noun,
Salta,薩爾塔,noun,洲、國家/地區、城市名稱
Samara,沙馬拉,noun,洲、國家/地區、城市名稱
Samarkand,撒馬爾罕,noun,洲、國家/地區、城市名稱
Samoa,薩摩亞,noun,洲、國家/地區、城市名稱
Samoan,薩摩亞文,noun,語言名稱，介面中稱文不稱語
Samoan t&#x101;l&#x101;,薩摩亞塔拉,noun,貨幣名稱
San Juan,聖胡安,noun,洲、國家/地區、城市名稱
San Luis,聖路易斯,noun,洲、國家/地區、城市名稱
San Marino,聖馬利諾,noun,洲、國家/地區、城市名稱
Sango,三國文,noun,語言名稱，介面中稱文不稱語
Sanskrit,梵文,noun,語言名稱，介面中稱文不稱語
Santa Isabel,聖伊薩貝爾,noun,洲、國家/地區、城市名稱
Santarem,聖塔倫,noun,洲、國家/地區、城市名稱
Santiago,聖地牙哥,noun,洲、國家/地區、城市名稱
Santo Domingo,聖多明哥,noun,洲、國家/地區、城市名稱
Sao Paulo,聖保羅,noun,洲、國家/地區、城市名稱
Sao Tome,聖多美,noun,洲、國家/地區、城市名稱
Saraiki,沙雷基文,noun,語言名稱，介面中稱文不稱語
Sarajevo,塞拉耶佛,noun,洲、國家/地區、城市名稱
Saratov,薩拉托夫,noun,洲、國家/地區、城市名稱
Sardinian,薩丁尼亞文,noun,語言名稱，介面中稱文不稱語
Saudi riyal,沙特里亞爾,noun,貨幣名稱
save,儲存,verb,
save changes,儲存設定,verb,
scan,掃描,noun,
scan,掃描,verb,
schedule,排程,verb,
scheduler,排程器,noun,
schema,架構,noun,
schema,結構描述,noun,
Scoresbysund,斯可比,noun,洲、國家/地區、城市名稱
Scottish Gaelic,蘇格蘭蓋爾文,noun,語言名稱，介面中稱文不稱語
screen option,顯示項目設定,noun,
screen reader,螢幕閱讀器,noun,
screenshot,螢幕擷圖,noun,
script,指令碼,noun,
search box,搜尋框,noun,適用於搜尋引擎相關內容
search engine,搜尋引擎,noun,適用於搜尋引擎相關內容
search engine optimization,搜尋引擎最佳化,noun,適用於搜尋引擎相關內容，SEO 是 Search Engine Optimization (Search Engine Optimization) 的縮寫
section,區段,noun,
security,安全性,noun,
security key,安全金鑰,noun,
select,選取,verb,
select all,全部選取,noun,
selector,選取器,noun,
self-hosted,自主代管,adjective,
semicolon,分號,noun,適用於標點符號 ;
sensitive,敏感性,adjective,
sensitive information,敏感性資訊,noun,
SEO,SEO,noun,
Seoul,首爾,noun,洲、國家/地區、城市名稱
separator,分隔符號,noun,
Serbian,塞爾維亞文,noun,語言名稱，介面中稱文不稱語
Serbian dinar,塞爾維亞戴納,noun,貨幣名稱
serialize,序列化,verb,
server,伺服器,noun,
service,服務,noun,
service mark,服務標章,noun,
session,工作階段,noun,
setting,設定,noun,
setting,設定,verb,
Seychellois rupee,塞席爾盧比,noun,貨幣名稱
Shanghai,上海,noun,洲、國家/地區、城市名稱
share,分享,verb,
Shift,Shift 鍵,noun,鍵盤按鍵名稱
shim,填充碼,noun,
Shiprock,希普羅克峰,noun,洲、國家/地區、城市名稱
Shona,紹納文,noun,語言名稱，介面中稱文不稱語
shortcode,短代碼,noun,
shortcut,快速鍵,noun,
shortcut,捷徑,noun,
Sichuan Yi,四川彝文,noun,語言名稱，介面中稱文不稱語
sidebar,資訊欄,noun,適用於 WordPress 外掛及佈景主題
Sierra Leonean leone,獅子山利昂,noun,貨幣名稱
Signal,Signal,noun,通訊軟體名稱
signal,訊號,noun,通訊軟體名稱
Silesian,西萊亞西文,noun,語言名稱，介面中稱文不稱語
Simferopol,欣佛洛普,noun,洲、國家/地區、城市名稱
Simplified Chinese,簡體中文,noun,語言名稱，介面中稱文不稱語
Simplified Chinese Formal,簡體中文 (正式),noun,語言名稱，介面中稱文不稱語
Simplified Chinese Informal,簡體中文 (口語),noun,語言名稱，介面中稱文不稱語
Sindhi,信德文,noun,語言名稱，介面中稱文不稱語
Singapore,新加坡,noun,洲、國家/地區、城市名稱
Singapore dollar,新加坡元,noun,貨幣名稱
single page,單篇頁面,noun,
single post,單篇文章,noun,適用於確定 Post 所指確實是 [文章] 內容類型時
single post,單篇內容,noun,
Single Sign-On,單一登入,noun,
Sinhala,僧伽羅文,noun,語言名稱，介面中稱文不稱語
site,網站,noun,
site editor,網站編輯器,noun,
site language,網站介面語言,noun,
sitemap,sitemap,noun,
Sitka,矽地卡,noun,洲、國家/地區、城市名稱
Skopje,斯高彼亞,noun,洲、國家/地區、城市名稱
SKU,SKU,noun,適用於電子商務，全名為 Stock Keeping Unit。這是商品的唯一識別碼，通常由英數字組成。基於管理庫存目的，SKU 用於追蹤商品。SKU 可與任何可購買的項目產生關聯；舉例來說，一件編號為 1114、尺寸為 8 的外套，SKU 便可以訂為 1114-8。
SKU,庫存單位,noun,適用於電子商務，全名為 Stock Keeping Unit。這是商品的唯一識別碼，通常由英數字組成。基於管理庫存目的，SKU 用於追蹤商品。SKU 可與任何可購買的項目產生關聯；舉例來說，一件編號為 1114、尺寸為 8 的外套，SKU 便可以訂為 1114-8。
SKU,商品貨號,noun,適用於電子商務，全名為 Stock Keeping Unit。這是商品的唯一識別碼，通常由英數字組成。基於管理庫存目的，SKU 用於追蹤商品。SKU 可與任何可購買的項目產生關聯；舉例來說，一件編號為 1114、尺寸為 8 的外套，SKU 便可以訂為 1114-8。
SKU,貨號,noun,適用於電子商務，全名為 Stock Keeping Unit。這是商品的唯一識別碼，通常由英數字組成。基於管理庫存目的，SKU 用於追蹤商品。SKU 可與任何可購買的項目產生關聯；舉例來說，一件編號為 1114、尺寸為 8 的外套，SKU 便可以訂為 1114-8。
Skype,Skype,noun,通訊軟體名稱
Slack,Slack,noun,協同作業服務名稱
Slovak,斯洛伐克文,noun,語言名稱，介面中稱文不稱語
Slovenian,斯洛維尼亞文,noun,語言名稱，介面中稱文不稱語
slug,代稱,noun,
smooth,平滑,adjective,
smooth scroll,平滑捲動,noun,
Snapchat,Snapchat,noun,社交網路服務平台名稱
snapshot,快照,noun,
snippet,程式碼片段,noun,
social,社交網路服務,noun,
social,社交,noun,
social engineering,社交工程,noun,「社交工程」是指藉由發布內容，誘騙使用者進行只會為自身信賴的實體採取的行動 (例如提供機密資訊)、下載垃圾軟體或惡意軟體，或是落入網路詐騙/釣魚的圈套。
social icon,社交網路服務圖示,noun,
social media,社交網路服務媒體,,
social network,社交網路服務,noun,
social share,社交網路服務分享,noun,
Sofia,索菲亞,noun,洲、國家/地區、城市名稱
software,軟體,noun,
Solomon Islands dollar,索羅門群島元,noun,貨幣名稱
Somali,索馬利亞文,noun,語言名稱，介面中稱文不稱語
Somali shilling,索馬利亞先令,noun,貨幣名稱
something went wrong,執行時發生錯誤,verb,
source code,原始程式碼,noun,
South,南澳省,noun,洲、國家/地區、城市名稱
South African rand,南非蘭特,noun,貨幣名稱
South Azerbaijani,南亞塞拜然文,noun,語言名稱，介面中稱文不稱語
South Georgia,南喬治亞,noun,洲、國家/地區、城市名稱
South Korean won,韓圓,noun,貨幣名稱
South Ndebele,南恩德比利文,noun,語言名稱，介面中稱文不稱語
South Pole,南極,noun,洲、國家/地區、城市名稱
South Sudanese pound,南蘇丹鎊,noun,貨幣名稱
Southern Sotho,南索托文,noun,語言名稱，介面中稱文不稱語
spacing,間距,noun,
spam,標示為垃圾訊息,verb,適用於 spam 包含垃圾留言及垃圾郵件的狀況
spam,垃圾訊息,noun,適用於 spam 包含垃圾留言及垃圾郵件的狀況
spam,標示為垃圾留言,verb,
spam,標示為垃圾郵件,verb,
spam,垃圾留言,noun,
spam,垃圾郵件,noun,
Spanish,西班牙文,noun,語言名稱，介面中稱文不稱語
Spanish (Argentina),西班牙文 (阿根廷),noun,語言名稱，介面中稱文不稱語
Spanish (Chile),西班牙文 (智利),noun,語言名稱，介面中稱文不稱語
Spanish (Colombia),西班牙文 (哥倫比亞),noun,語言名稱，介面中稱文不稱語
Spanish (Costa Rica),西班牙文 (哥斯大黎加),noun,語言名稱，介面中稱文不稱語
Spanish (Dominican Republic),西班牙文 (多明尼加共和國),noun,語言名稱，介面中稱文不稱語
Spanish (Ecuador),西班牙文 (厄瓜多爾),noun,語言名稱，介面中稱文不稱語
Spanish (Guatemala),西班牙文 (瓜地馬拉),noun,語言名稱，介面中稱文不稱語
Spanish (Mexico),西班牙文 (墨西哥),noun,語言名稱，介面中稱文不稱語
Spanish (Peru),西班牙文 (祕魯),noun,語言名稱，介面中稱文不稱語
Spanish (Puerto Rico),西班牙文 (波多黎各),noun,語言名稱，介面中稱文不稱語
Spanish (Spain),西班牙文 (西班牙),noun,語言名稱，介面中稱文不稱語
Spanish (Uruguay),西班牙文 (烏拉圭),noun,語言名稱，介面中稱文不稱語
Spanish (Venezuela),西班牙文 (委內瑞拉),noun,語言名稱，介面中稱文不稱語
spider,自動尋檢程式,noun,Google 台灣官方譯文，適用於搜尋引擎相關內容
Spotify,Spotify,noun,線上影音串流服務名稱
square,正方形,noun,適用於形狀
Srednekolymsk,中科雷姆斯克,noun,洲、國家/地區、城市名稱
Sri Lankan rupee,斯里蘭卡盧比,noun,貨幣名稱
ssl certificate,SSL 憑證,noun,
SSO,SSO,noun,SSO 通常是 Single Sign-On (單一登入) 的縮寫
SSO,單一登入,noun,SSO 通常是 Single Sign-On (單一登入) 的縮寫
St Barthelemy,聖巴泰勒米,noun,洲、國家/地區、城市名稱
St Helena,聖赫勒拿島,noun,洲、國家/地區、城市名稱
St Johns,聖約翰,noun,洲、國家/地區、城市名稱
St Kitts,聖克里斯多福,noun,洲、國家/地區、城市名稱
St Lucia,聖露西亞,noun,洲、國家/地區、城市名稱
St Thomas,聖湯瑪士,noun,洲、國家/地區、城市名稱
St Vincent,聖文森,noun,洲、國家/地區、城市名稱
staging,預備環境,noun,適用於網站建置
Stanley,史坦萊,noun,洲、國家/地區、城市名稱
stat,統計資料,noun,
statistics,統計資料,noun,
status,狀態,noun,
step by step,逐步,noun,
step by step guide,逐步指南,noun,
step-by-step,逐步,noun,
step-by-step guide,逐步指南,noun,
sticky,置頂文章,noun,
sticky,固定於頁首,verb,
sticky,置頂,verb,
sticky,固定式,adjective,
sticky,固定位置,adverb,
Stock Keeping Unit,庫存單位,noun,適用於電子商務，縮寫為 SKU。這是商品的唯一識別碼，通常由英數字組成。基於管理庫存目的，SKU 用於追蹤商品。SKU 可與任何可購買的項目產生關聯；舉例來說，一件編號為 1114、尺寸為 8 的外套，SKU 便可以訂為 1114-8。
Stockholm,斯德哥爾摩,noun,洲、國家/地區、城市名稱
storage space,儲存空間,noun,
structure,結構,noun,
StumbleUpon,StumbleUpon,noun,社交網路服務平台名稱
style,樣式,noun,
style sheet,樣式表,noun,
style variation,樣式變化,noun,適用於 WordPress 全站編輯
subdomain,子網域,noun,
subscribe,訂閱,verb,適用於訂閱內容
subscribe,約期授權,verb,適用於線上服務、軟體的授權方式說明
subscriber,訂閱者,noun,適用於 WordPress 預設使用者角色
subscription,訂閱,noun,適用於訂閱內容
subscription,約期授權,noun,適用於線上服務、軟體的授權方式說明
subtitle,子標題,noun,
Sudanese pound,蘇丹鎊,noun,貨幣名稱
summary,摘要,noun,
Sundanese,巽丹文,noun,語言名稱，介面中稱文不稱語
super admin,多站網路管理員,noun,適用於 WordPress 多站網路相關內容
Surinamese dollar,蘇利南元,noun,貨幣名稱
swag,紀念品,noun,
Swahili,斯瓦希里文,noun,語言名稱，介面中稱文不稱語
Swati,斯瓦帝文,noun,語言名稱，介面中稱文不稱語
Swazi lilangeni,史瓦濟蘭里蘭吉尼,noun,貨幣名稱
Swedish,瑞典文,noun,語言名稱，介面中稱文不稱語
Swedish krona,瑞典克朗,noun,貨幣名稱
Swift Current,斯威夫特卡倫特,noun,
Swiss franc,瑞士法郎,noun,貨幣名稱
switch,交換器,noun,網路通訊裝置名稱
switch,切換器,verb,
switcher,切換器,noun,
Sydney,雪梨,noun,洲、國家/地區、城市名稱
symbolic link,符號連結,noun,
symbolic link,符號連結,noun,適用於作業系統及檔案系統
symlink,符號連結,noun,適用於作業系統及檔案系統，Symlink 通常是 Symbolic Link (符號連結) 的簡寫
sync,同步,verb,
synchronization,同步,noun,
synchronize,同步,verb,
Syowa,昭和站,noun,洲、國家/地區、城市名稱
Syrian pound,敘利亞鎊,noun,貨幣名稱
system,系統,noun,
Tab,Tab 鍵,noun,鍵盤按鍵名稱
tab,分頁,noun,
Tab,Tab 定位字元,noun,
table,資料表,noun,適用於資料庫
table,表格,noun,
table of contents,目錄,noun,
table of contents,內容目錄,noun,
tag,標籤,noun,
