en,zh-tw,description
Ponape,波納佩島,洲、國家/地區、城市名稱
Pontianak,坤甸,洲、國家/地區、城市名稱
pool,集區,適用於程式開發
port,連接埠,適用於各種裝置
port,通訊埠,適用於通訊協定
Port Moresby,莫爾斯貝港,洲、國家/地區、城市名稱
Port of Spain,西班牙港,洲、國家/地區、城市名稱
Port-au-Prince,太子港,洲、國家/地區、城市名稱
portfolio,作品集,
Porto Acre,亞克港,洲、國家/地區、城市名稱
Porto Velho,韋柳港,洲、國家/地區、城市名稱
Porto-Novo,新港,洲、國家/地區、城市名稱
Portuguese,葡萄牙文,語言名稱，介面中稱文不稱語
Portuguese (Angola),葡萄牙文 (安哥拉),語言名稱，介面中稱文不稱語
Portuguese (Brazil),葡萄牙文 (巴西),語言名稱，介面中稱文不稱語
Portuguese (Portugal),葡萄牙文 (葡萄牙),語言名稱，介面中稱文不稱語
"Portuguese (Portugal, AO90)",葡萄牙文 (葡萄牙，AO90),語言名稱，介面中稱文不稱語
post,文章,適用於確定 Post 所指確實是 [文章] 內容類型時
post editor,內容編輯器,
post format,文章格式,
post status,內容發佈狀態,
post thumbnail,內容縮圖,
post type,內容類型,
postfix,後置詞,
Pound sterling,英鎊,貨幣名稱
Powered by WordPress,本站採用 WordPress 建置,
Prague,布拉格,洲、國家/地區、城市名稱
preference,偏好設定,
prefix,前置詞,
preload list,預載清單,
preloader,預先載入程式,
preset,預設,
preset,預設集,
press,按下,操作鍵盤、滑鼠及螢幕
previous page,上一頁,
privacy policy,隱私權政策,
processor,處理器,
prod,正式環境,如果確定是 Production 的簡寫，則適用於網站建置
production,正式環境,適用於網站建置
profile,個人資料,
profiler,分析工具,
profiling,分析,
promo code,促銷代碼,
promotion code,促銷代碼,
protect,保護,
protection,保護,
protocol,通訊協定,
publish,發佈,
Puerto Rico,波多黎各,洲、國家/地區、城市名稱
pull request,提取要求,適用於程式開發及 Git 相關內容
Punjabi,旁遮普文,語言名稱，介面中稱文不稱語
Punta Arenas,蓬塔阿雷納斯,洲、國家/地區、城市名稱
Pure CSS,Pure CSS,
purpose,目的,
Pyongyang,平壤,洲、國家/地區、城市名稱
Qatar,卡達,洲、國家/地區、城市名稱
Qatari riyal,卡達里亞爾,貨幣名稱
Qostanay,庫斯塔奈,洲、國家/地區、城市名稱
QR Code,QR 圖碼,
Quechua,蓋楚瓦文,語言名稱，介面中稱文不稱語
Queensland,昆士蘭省,洲、國家/地區、城市名稱
query,查詢,
quota,配額,
Qyzylorda,克孜勒奧爾達,洲、國家/地區、城市名稱
radio button,選項按鈕,
Raeto-Romance,里托羅曼斯文,語言名稱，介面中稱文不稱語
Rainy River,雷尼河區,洲、國家/地區、城市名稱
Rangoon,仰光,洲、國家/地區、城市名稱
Rankin Inlet,蘭金音萊特,洲、國家/地區、城市名稱
Rarotonga,拉洛東加島,洲、國家/地區、城市名稱
real-time,即時,
Recife,累西腓,洲、國家/地區、城市名稱
record,記錄,
recover,復原,
recovery,復原,
recovery code,復原代碼,
recovery mode,復原模式,
redirect,重新導向,
redirection,重新導向,
refactor,重構,
refresh,重新整理,
Regina,雷吉納,洲、國家/地區、城市名稱
register,註冊,
registered trademark,註冊商標,
registration,註冊,
regular expression,規則運算式,適用於程式開發
regular price,原價,
relative path,相對路徑,
remove,移除,
render,轉譯,
render,轉譯,適用於程式開發
rep,代表,在外掛目錄或佈景主題中，Rep 通常是 Representative (代表) 的縮寫。舉例來說，Support rep 或 Support Representative 即為「技術支援代表」。
repo,存放庫,在外掛目錄及佈景主題目錄中， repo 是 Repository (存放庫) 的縮寫。
repository,存放庫,適用於 SVN、Git 或 GitHub
representative,代表,範例：Sales Representative 為「銷售代表」。
request,要求,
requirement,需求,
requirement,要求,
reset,重設,
Resolute,努納武特,洲、國家/地區、城市名稱
response code,回應碼,
responsive,回應式,
responsive wed design,回應式網頁設計,
result set,結果集,
Reunion,留尼旺,洲、國家/地區、城市名稱
Reusable Block,可重複使用區塊,
reusable block,可重複使用區塊,適用於區塊編輯器及全站編輯相關內容
reverse proxy,反向 Proxy,
revision,內容修訂,
revoke,撤銷,
rewrite,重新寫入,
rewrite rule,重新寫入規則,
Reykjavik,雷克雅維克,洲、國家/地區、城市名稱
rich snippet,複合式摘要,
Riga,里加,洲、國家/地區、城市名稱
right arrow key,向右鍵,鍵盤按鍵名稱
Right to Left,從右至左,文字方向
right-click,點擊右鍵,操作鍵盤、滑鼠及螢幕
Rio Branco,里約布蘭科,洲、國家/地區、城市名稱
Rio Gallegos,里奧加耶戈斯,洲、國家/地區、城市名稱
Riyadh,利雅德,洲、國家/地區、城市名稱
robot,漫遊器,Google 台灣官方譯文，適用於搜尋引擎相關內容
Rohingya,羅興亞文,語言名稱，介面中稱文不稱語
Romanian,羅馬尼亞文,語言名稱，介面中稱文不稱語
Romanian leu,羅馬尼亞列伊,貨幣名稱
Rome,羅馬,洲、國家/地區、城市名稱
Rosario,羅沙略,洲、國家/地區、城市名稱
Rothera,羅瑟拉站,洲、國家/地區、城市名稱
routine,常式,
row,列,
row,資料列,
RSS,RSS,
RTL,RTL,文字方向 Right to Left (從右到左) 的縮寫，例如阿拉伯文、希伯來文
RTL,從右至左,文字方向 Right to Left (從右到左) 的縮寫，例如阿拉伯文、希伯來文
rule set,規則集,
rule type,規則型別,
ruleset,規則集,
runtime,執行階段,
Russian,俄文,語言名稱，介面中稱文不稱語
Russian ruble,俄羅斯盧布,貨幣名稱
Rwandan franc,盧安達法郎,貨幣名稱
RWD,RWD,RWD 是 Responsive Wed Design (回應式網頁設計) 的縮寫
S&atilde;o Tom&eacute; and Pr&iacute;ncipe dobra,聖多美和普林西比多布拉,貨幣名稱
Saigon,胡志明市,洲、國家/地區、城市名稱
Saint Helena pound,聖赫勒拿島鎊,貨幣名稱
Saipan,塞班島,洲、國家/地區、城市名稱
Sakha,薩哈文,語言名稱，介面中稱文不稱語
Sakhalin,庫頁島,洲、國家/地區、城市名稱
sale price,特價,
Salta,薩爾塔,洲、國家/地區、城市名稱
Samara,沙馬拉,洲、國家/地區、城市名稱
Samarkand,撒馬爾罕,洲、國家/地區、城市名稱
Samoa,薩摩亞,洲、國家/地區、城市名稱
Samoan,薩摩亞文,語言名稱，介面中稱文不稱語
Samoan t&#x101;l&#x101;,薩摩亞塔拉,貨幣名稱
San Juan,聖胡安,洲、國家/地區、城市名稱
San Luis,聖路易斯,洲、國家/地區、城市名稱
San Marino,聖馬利諾,洲、國家/地區、城市名稱
Sango,三國文,語言名稱，介面中稱文不稱語
Sanskrit,梵文,語言名稱，介面中稱文不稱語
Santa Isabel,聖伊薩貝爾,洲、國家/地區、城市名稱
Santarem,聖塔倫,洲、國家/地區、城市名稱
Santiago,聖地牙哥,洲、國家/地區、城市名稱
Santo Domingo,聖多明哥,洲、國家/地區、城市名稱
Sao Paulo,聖保羅,洲、國家/地區、城市名稱
Sao Tome,聖多美,洲、國家/地區、城市名稱
Saraiki,沙雷基文,語言名稱，介面中稱文不稱語
Sarajevo,塞拉耶佛,洲、國家/地區、城市名稱
Saratov,薩拉托夫,洲、國家/地區、城市名稱
Sardinian,薩丁尼亞文,語言名稱，介面中稱文不稱語
Saudi riyal,沙特里亞爾,貨幣名稱
save,儲存,
save changes,儲存設定,
scan,掃描,
schedule,排程,
scheduler,排程器,
schema,架構,Microsoft 官方譯文
schema,結構描述,Microsoft 官方譯文
Scoresbysund,斯可比,洲、國家/地區、城市名稱
Scottish Gaelic,蘇格蘭蓋爾文,語言名稱，介面中稱文不稱語
screen option,顯示項目設定,
screen reader,螢幕閱讀器,
screenshot,螢幕擷圖,
script,指令碼,
search box,搜尋框,適用於搜尋引擎相關內容
search engine,搜尋引擎,適用於搜尋引擎相關內容
search engine optimization,搜尋引擎最佳化,適用於搜尋引擎相關內容，SEO 是 Search Engine Optimization (Search Engine Optimization) 的縮寫
section,區段,
security,安全性,
security key,安全金鑰,
select,選取,
select all,全部選取,
selector,選取器,
self-hosted,自主代管,
semicolon,分號,適用於標點符號 ;
sensitive,敏感性,
sensitive information,敏感性資訊,
SEO,SEO,
Seoul,首爾,洲、國家/地區、城市名稱
separator,分隔符號,
Serbian,塞爾維亞文,語言名稱，介面中稱文不稱語
Serbian dinar,塞爾維亞戴納,貨幣名稱
serialize,序列化,
server,伺服器,
service,服務,
service mark,服務標章,
session,工作階段,
setting,設定,
Seychellois rupee,塞席爾盧比,貨幣名稱
Shanghai,上海,洲、國家/地區、城市名稱
share,分享,
Shift,Shift 鍵,鍵盤按鍵名稱
shim,填充碼,
Shiprock,希普羅克峰,洲、國家/地區、城市名稱
Shona,紹納文,語言名稱，介面中稱文不稱語
shortcode,短代碼,
shortcut,快速鍵,
shortcut,捷徑,
Sichuan Yi,四川彝文,語言名稱，介面中稱文不稱語
sidebar,資訊欄,適用於 WordPress 外掛及佈景主題
Sierra Leonean leone,獅子山利昂,貨幣名稱
Signal,Signal,通訊軟體名稱
signal,訊號,通訊軟體名稱
Silesian,西萊亞西文,語言名稱，介面中稱文不稱語
Simferopol,欣佛洛普,洲、國家/地區、城市名稱
Simplified Chinese,簡體中文,語言名稱，介面中稱文不稱語
Simplified Chinese Formal,簡體中文 (正式),語言名稱，介面中稱文不稱語
Simplified Chinese Informal,簡體中文 (口語),語言名稱，介面中稱文不稱語
Sindhi,信德文,語言名稱，介面中稱文不稱語
Singapore,新加坡,洲、國家/地區、城市名稱
Singapore dollar,新加坡元,貨幣名稱
single page,單篇頁面,
single post,單篇文章,適用於確定 Post 所指確實是 [文章] 內容類型時
single post,單篇內容,
Single Sign-On,單一登入,
Sinhala,僧伽羅文,語言名稱，介面中稱文不稱語
site,網站,
site editor,網站編輯器,
site language,網站介面語言,
sitemap,sitemap,
Sitka,矽地卡,洲、國家/地區、城市名稱
Skopje,斯高彼亞,洲、國家/地區、城市名稱
SKU,SKU,適用於電子商務，全名為 Stock Keeping Unit。這是商品的唯一識別碼，通常由英數字組成。基於管理庫存目的，SKU 用於追蹤商品。SKU 可與任何可購買的項目產生關聯；舉例來說，一件編號為 1114、尺寸為 8 的外套，SKU 便可以訂為 1114-8。
SKU,庫存單位,適用於電子商務，全名為 Stock Keeping Unit。這是商品的唯一識別碼，通常由英數字組成。基於管理庫存目的，SKU 用於追蹤商品。SKU 可與任何可購買的項目產生關聯；舉例來說，一件編號為 1114、尺寸為 8 的外套，SKU 便可以訂為 1114-8。
SKU,商品貨號,適用於電子商務，全名為 Stock Keeping Unit。這是商品的唯一識別碼，通常由英數字組成。基於管理庫存目的，SKU 用於追蹤商品。SKU 可與任何可購買的項目產生關聯；舉例來說，一件編號為 1114、尺寸為 8 的外套，SKU 便可以訂為 1114-8。
SKU,貨號,適用於電子商務，全名為 Stock Keeping Unit。這是商品的唯一識別碼，通常由英數字組成。基於管理庫存目的，SKU 用於追蹤商品。SKU 可與任何可購買的項目產生關聯；舉例來說，一件編號為 1114、尺寸為 8 的外套，SKU 便可以訂為 1114-8。
Skype,Skype,通訊軟體名稱
Slack,Slack,協同作業服務名稱
Slovak,斯洛伐克文,語言名稱，介面中稱文不稱語
Slovenian,斯洛維尼亞文,語言名稱，介面中稱文不稱語
slug,代稱,
smooth,平滑,
smooth scroll,平滑捲動,
Snapchat,Snapchat,社交網路服務平台名稱
snapshot,快照,
snippet,程式碼片段,
social,社交網路服務,
social,社交,
social engineering,社交工程,「社交工程」是指藉由發布內容，誘騙使用者進行只會為自身信賴的實體採取的行動 (例如提供機密資訊)、下載垃圾軟體或惡意軟體，或是落入網路詐騙/釣魚的圈套。
social icon,社交網路服務圖示,
social media,社交網路服務媒體,
social network,社交網路服務,
social share,社交網路服務分享,
Sofia,索菲亞,洲、國家/地區、城市名稱
software,軟體,
Solomon Islands dollar,索羅門群島元,貨幣名稱
Somali,索馬利亞文,語言名稱，介面中稱文不稱語
Somali shilling,索馬利亞先令,貨幣名稱
something went wrong,執行時發生錯誤,
source code,原始程式碼,
South,南澳省,洲、國家/地區、城市名稱
South African rand,南非蘭特,貨幣名稱
South Azerbaijani,南亞塞拜然文,語言名稱，介面中稱文不稱語
South Georgia,南喬治亞,洲、國家/地區、城市名稱
South Korean won,韓圓,貨幣名稱
South Ndebele,南恩德比利文,語言名稱，介面中稱文不稱語
South Pole,南極,洲、國家/地區、城市名稱
South Sudanese pound,南蘇丹鎊,貨幣名稱
Southern Sotho,南索托文,語言名稱，介面中稱文不稱語
spacing,間距,
spam,標示為垃圾訊息,適用於 spam 包含垃圾留言及垃圾郵件的狀況
spam,垃圾訊息,適用於 spam 包含垃圾留言及垃圾郵件的狀況
spam,標示為垃圾留言,
spam,標示為垃圾郵件,
spam,垃圾留言,
spam,垃圾郵件,
Spanish,西班牙文,語言名稱，介面中稱文不稱語
Spanish (Argentina),西班牙文 (阿根廷),語言名稱，介面中稱文不稱語
Spanish (Chile),西班牙文 (智利),語言名稱，介面中稱文不稱語
Spanish (Colombia),西班牙文 (哥倫比亞),語言名稱，介面中稱文不稱語
Spanish (Costa Rica),西班牙文 (哥斯大黎加),語言名稱，介面中稱文不稱語
Spanish (Dominican Republic),西班牙文 (多明尼加共和國),語言名稱，介面中稱文不稱語
Spanish (Ecuador),西班牙文 (厄瓜多爾),語言名稱，介面中稱文不稱語
Spanish (Guatemala),西班牙文 (瓜地馬拉),語言名稱，介面中稱文不稱語
Spanish (Mexico),西班牙文 (墨西哥),語言名稱，介面中稱文不稱語
Spanish (Peru),西班牙文 (祕魯),語言名稱，介面中稱文不稱語
Spanish (Puerto Rico),西班牙文 (波多黎各),語言名稱，介面中稱文不稱語
Spanish (Spain),西班牙文 (西班牙),語言名稱，介面中稱文不稱語
Spanish (Uruguay),西班牙文 (烏拉圭),語言名稱，介面中稱文不稱語
Spanish (Venezuela),西班牙文 (委內瑞拉),語言名稱，介面中稱文不稱語
spider,自動尋檢程式,Google 台灣官方譯文，適用於搜尋引擎相關內容
Spotify,Spotify,線上影音串流服務名稱
square,正方形,適用於形狀
Srednekolymsk,中科雷姆斯克,洲、國家/地區、城市名稱
Sri Lankan rupee,斯里蘭卡盧比,貨幣名稱
ssl certificate,SSL 憑證,
SSO,SSO,SSO 通常是 Single Sign-On (單一登入) 的縮寫
SSO,單一登入,SSO 通常是 Single Sign-On (單一登入) 的縮寫
St Barthelemy,聖巴泰勒米,洲、國家/地區、城市名稱
St Helena,聖赫勒拿島,洲、國家/地區、城市名稱
St Johns,聖約翰,洲、國家/地區、城市名稱
St Kitts,聖克里斯多福,洲、國家/地區、城市名稱
St Lucia,聖露西亞,洲、國家/地區、城市名稱
St Thomas,聖湯瑪士,洲、國家/地區、城市名稱
St Vincent,聖文森,洲、國家/地區、城市名稱
staging,預備環境,適用於網站建置
Stanley,史坦萊,洲、國家/地區、城市名稱
stat,統計資料,
statistics,統計資料,
status,狀態,
step by step,逐步,
step by step guide,逐步指南,
step-by-step,逐步,
step-by-step guide,逐步指南,
sticky,置頂文章,
sticky,固定於頁首,
sticky,置頂,
sticky,固定式,
sticky,固定位置,
Stock Keeping Unit,庫存單位,適用於電子商務，縮寫為 SKU。這是商品的唯一識別碼，通常由英數字組成。基於管理庫存目的，SKU 用於追蹤商品。SKU 可與任何可購買的項目產生關聯；舉例來說，一件編號為 1114、尺寸為 8 的外套，SKU 便可以訂為 1114-8。
Stockholm,斯德哥爾摩,洲、國家/地區、城市名稱
storage space,儲存空間,
structure,結構,
StumbleUpon,StumbleUpon,社交網路服務平台名稱
style,樣式,
style sheet,樣式表,
style variation,樣式變化,適用於 WordPress 全站編輯
subdomain,子網域,
subscribe,訂閱,適用於訂閱內容
subscribe,約期授權,適用於線上服務、軟體的授權方式說明
subscriber,訂閱者,適用於 WordPress 預設使用者角色
subscription,訂閱,適用於訂閱內容
subscription,約期授權,適用於線上服務、軟體的授權方式說明
subtitle,子標題,
Sudanese pound,蘇丹鎊,貨幣名稱
summary,摘要,
Sundanese,巽丹文,語言名稱，介面中稱文不稱語
super admin,多站網路管理員,適用於 WordPress 多站網路相關內容
Surinamese dollar,蘇利南元,貨幣名稱
swag,紀念品,
Swahili,斯瓦希里文,語言名稱，介面中稱文不稱語
Swati,斯瓦帝文,語言名稱，介面中稱文不稱語
Swazi lilangeni,史瓦濟蘭里蘭吉尼,貨幣名稱
Swedish,瑞典文,語言名稱，介面中稱文不稱語
Swedish krona,瑞典克朗,貨幣名稱
Swift Current,斯威夫特卡倫特,
Swiss franc,瑞士法郎,貨幣名稱
switch,交換器,網路通訊裝置名稱
switch,切換,
switcher,切換器,
Sydney,雪梨,洲、國家/地區、城市名稱
symbolic link,符號連結,適用於作業系統及檔案系統
symlink,符號連結,適用於作業系統及檔案系統，Symlink 通常是 Symbolic Link (符號連結) 的簡寫
sync,同步,
synchronization,同步,
synchronize,同步,
Syowa,昭和站,洲、國家/地區、城市名稱
Syrian pound,敘利亞鎊,貨幣名稱
system,系統,
Tab,Tab 鍵,鍵盤按鍵名稱
tab,分頁,
Tab,Tab 定位字元,
table,資料表,適用於資料庫
table,表格,
table of contents,目錄,
table of contents,內容目錄,
tag,標籤,
tag,標示,
tag base,標籤目錄起點,
Tag ID,代碼 ID,Google 台灣官方譯文，適用於搜尋引擎相關內容及 Google Analystics
Tagalog,塔加拉族文,語言名稱，介面中稱文不稱語
tagline,網站說明,
Tahiti,大溪地,洲、國家/地區、城市名稱
Tahitian,大溪地文,語言名稱，介面中稱文不稱語
Taipei,台北,洲、國家/地區、城市名稱
Tajik,塔吉克文,語言名稱，介面中稱文不稱語
Tajikistani somoni,塔吉克斯坦索莫尼,貨幣名稱
Tallinn,塔林,洲、國家/地區、城市名稱
Tamil,坦米爾文,語言名稱，介面中稱文不稱語
Tamil (Sri Lanka),坦米爾文 (斯里蘭卡),語言名稱，介面中稱文不稱語
Tanzanian shilling,坦尚尼亞先令,貨幣名稱
Tarawa,塔拉瓦,洲、國家/地區、城市名稱
target audience,目標對象,
Tashkent,塔什干,洲、國家/地區、城市名稱
task,工作,
Tasmania,塔斯馬尼亞,洲、國家/地區、城市名稱
Tatar,韃靼文,語言名稱，介面中稱文不稱語
taxonomy,分類法,
Tbilisi,第比利斯,洲、國家/地區、城市名稱
Tegucigalpa,德古西加巴,洲、國家/地區、城市名稱
Tehran,德黑蘭,洲、國家/地區、城市名稱
Tel Aviv,特拉維夫,洲、國家/地區、城市名稱
Telegram,Telegram,通訊軟體名稱
Tell City,特爾城,洲、國家/地區、城市名稱
Telugu,泰盧固文,語言名稱，介面中稱文不稱語
template,範本,
template part,範本組件,適用於區塊編輯器、網站編輯器相關內容
term,分類法詞彙,適用於 WordPress 分類法相關內容
test,測試,
test unit,測試單元,
text editor,文字編輯器,
Thai,泰文,語言名稱，介面中稱文不稱語
Thai baht,泰銖,貨幣名稱
theme,佈景主題,
theme directory,佈景主題目錄,
theme name,佈景主題名稱,
theme option,佈景主題選項,
Thimbu,辛布,洲、國家/地區、城市名稱
Thimphu,辛布,洲、國家/地區、城市名稱
Thule,土里島,洲、國家/地區、城市名稱
thumb,縮圖,有些開發者會將 Thumbnail 簡寫為 Thumb
thumbnail,縮圖,
thumbnail size,縮圖尺寸,
Thunder Bay,桑德灣,洲、國家/地區、城市名稱
Tibetan,藏文,語言名稱，介面中稱文不稱語
Tigrinya,提格利尼亞文,語言名稱，介面中稱文不稱語
Tijuana,提華納,洲、國家/地區、城市名稱
Timbuktu,廷巴克圖,洲、國家/地區、城市名稱
time format,時間格式,
timer,計時器,
timezone,時區,
TinyMCE,TinyMCE,
Tirane,地拉那,洲、國家/地區、城市名稱
Tiraspol,提拉斯浦,洲、國家/地區、城市名稱
title,標題,
TLD,頂層網域,如果是與網域相關的內容，就是 top level domain 的縮寫
TLD,TLD,如果是與網域相關的內容，就是 top level domain 的縮寫
TOC,TOC,
TOC,目錄,
TOC,內容目錄,
token,權杖,
Tokyo,東京,洲、國家/地區、城市名稱
Tomsk,托木斯克,洲、國家/地區、城市名稱
Tonga,東加文,語言名稱，介面中稱文不稱語
Tongan pa&#x2bb;anga,東加潘加,貨幣名稱
Tongatapu,東加塔普,洲、國家/地區、城市名稱
tool,工具,
top level domain,頂層網域,
top-level domain,頂層網域,
Toronto,多倫多,洲、國家/地區、城市名稱
Tortola,托托拉,洲、國家/地區、城市名稱
track,追蹤,
trackback,引用通知,
tracker,追蹤器,
tracking code,追蹤程式碼,Google 台灣官方譯文，適用於搜尋引擎相關內容及 Google Analystics
trademark,商標,
Traditional Chinese,繁體中文,語言名稱，介面中稱文不稱語
Traditional Chinese Formal,繁體中文 (正式),語言名稱，介面中稱文不稱語
Traditional Chinese Informal,繁體中文 (口語),語言名稱，介面中稱文不稱語
translation,譯文,
translation,語言套件,
translation,本地化,
Transnistrian ruble,聶斯特河沿岸盧布,貨幣名稱
transparent,透明度,
transport,傳輸,
trash,回收桶,
trash,移至回收桶,
Trinidad and Tobago dollar,千里達及托巴哥元,貨幣名稱
Tripoli,的黎波里,洲、國家/地區、城市名稱
Troll,特羅爾站,洲、國家/地區、城市名稱
Truk,楚克,洲、國家/地區、城市名稱
Truth Social,Truth Social,社交網路服務平台名稱
try again,再試一次,
Tsonga,頌加文,語言名稱，介面中稱文不稱語
Tswana,班圖文,語言名稱，介面中稱文不稱語
Tucuman,圖庫曼,洲、國家/地區、城市名稱
Tumblr,Tumblr,內容發佈平台名稱
Tunis,突尼斯,洲、國家/地區、城市名稱
Tunisian dinar,突尼西亞戴納,貨幣名稱
tunnel,通道,
Turkish,土耳其文,語言名稱，介面中稱文不稱語
Turkish lira,土耳其里拉,貨幣名稱
Turkmen,土庫曼文,語言名稱，介面中稱文不稱語
Turkmenistan manat,土庫曼斯坦馬納特,貨幣名稱
Twi,帝維文,語言名稱，介面中稱文不稱語
Twitter,Twitter,社交網路服務平台名稱
two-factor authentication,兩步驟驗證,
two-step authentication,兩步驟驗證,
typography,排版樣式,
Ubuntu,Ubuntu,Linux 發行版本名稱
UCT,UCT,
Ugandan shilling,烏干達先令,貨幣名稱
Uighur,維吾爾文,語言名稱，介面中稱文不稱語
Ujung Pandang,錫江,洲、國家/地區、城市名稱
Ukrainian,烏克蘭文,語言名稱，介面中稱文不稱語
Ukrainian hryvnia,烏克蘭格里夫納,貨幣名稱
Ulaanbaatar,烏蘭巴托,洲、國家/地區、城市名稱
Ulan Bator,烏蘭巴托,洲、國家/地區、城市名稱
Ulyanovsk,烏里揚諾夫斯克,洲、國家/地區、城市名稱
underscore,底線,
underscore,底線,適用於標點符號 _
undo,復原,
ungroup,取消群組,
unique,唯一,
unique identifier,唯一識別碼,
United Arab Emirates dirham,阿拉伯聯合大公國迪拉姆,貨幣名稱
United States dollar,美元,貨幣名稱
Universal,國際標準時間,
universal,標準,
universal,通用,
unload,解除載入,從儲存空間移除儲存的項目。
unload,卸載,將軟體從系統記憶體中移除。
unsaved change,未儲存的變更,
unschedule,取消排程,
untitled,未命名,
unwanted software,垃圾軟體,
up arrow key,向上鍵,鍵盤按鍵名稱
update,更新,
upgrade,升級,
uploader,上傳程式,
Upper Alpha/Latin,大寫拉丁字元,語言名稱，介面中稱文不稱語
Upper Roman,大寫羅馬數字,語言名稱，介面中稱文不稱語
Upper Sorbian,上索布文,語言名稱，介面中稱文不稱語
Urdu,烏都文,語言名稱，介面中稱文不稱語
URI,URI,
URL,網址,
URL Slug,網址代稱,
Uruguayan peso,烏拉圭披索,貨幣名稱
Urumqi,烏魯木齊,洲、國家/地區、城市名稱
user,使用者,
user agent,使用者代理程式,
user interface,使用者介面,
user role,使用者角色,
Ushuaia,烏斯懷亞,洲、國家/地區、城市名稱
Ust-Nera,烏斯季涅拉,洲、國家/地區、城市名稱
UTC,國際標準時間 (UTC),
Uzbek,烏茲別克文,語言名稱，介面中稱文不稱語
Uzbekistani som,烏茲別克索姆,貨幣名稱
Uzhgorod,烏日霍羅德,洲、國家/地區、城市名稱
Vaduz,瓦都茲,洲、國家/地區、城市名稱
Vancouver,溫哥華,洲、國家/地區、城市名稱
Vanuatu vatu,萬那杜瓦圖,貨幣名稱
variable font,可變字型,Google 台灣官方譯文，適用於字型相關內容
variation,樣式變化,適用於 WordPress 全站編輯
Vatican,梵蒂岡,
Venda,文達文,語言名稱，介面中稱文不稱語
vendor,廠商,
Venezuelan bol&iacute;var,委內瑞拉玻利瓦爾,貨幣名稱
verification,驗證,
verification code,驗證碼,
verify,驗證,
version control,版本控制,
vertical,垂直,
Vevay,韋韋,洲、國家/地區、城市名稱
Viber,Viber,通訊軟體名稱
Victoria,維多利亞省,洲、國家/地區、城市名稱
video,視訊,
Vienna,維也納,洲、國家/地區、城市名稱
Vientiane,永珍,洲、國家/地區、城市名稱
Vietnamese,越南文,語言名稱，介面中稱文不稱語
Vietnamese &#x111;&#x1ed3;ng,越南盾,貨幣名稱
view all,檢視全部,
view mode,檢視模式,
viewer,檢視器,
viewport,檢視區,適用於網頁設計
Vilnius,維爾紐斯,洲、國家/地區、城市名稱
Vimeo,Vimeo,線上影音串流服務名稱
Vincennes,湯森斯,洲、國家/地區、城市名稱
Virgin,維爾京群島,洲、國家/地區、城市名稱
virtual,虛擬,
visual editor,視覺化編輯器,
VK,VK,社交網路服務平台名稱
Vkontakte,Vkontakte,社交網路服務平台名稱
Vladivostok,海參崴,洲、國家/地區、城市名稱
Volapuk,沃拉普克文,語言名稱，介面中稱文不稱語
Volgograd,伏爾加格勒,洲、國家/地區、城市名稱
Vostok,弗斯托克,洲、國家/地區、城市名稱
Wake,威克島,洲、國家/地區、城市名稱
Wallis,瓦利斯,洲、國家/地區、城市名稱
Walloon,華隆文,語言名稱，介面中稱文不稱語
Warsaw,華沙,洲、國家/地區、城市名稱
web font,網頁字型,適用於字型相關內容
webfont,網頁字型,適用於字型相關內容
website,網站,
Welsh,威爾斯文,語言名稱，介面中稱文不稱語
West,西澳省,洲、國家/地區、城市名稱
West African CFA franc,西非法郎 (非洲金融共同體法郎),貨幣名稱
Western Frisian,西弗里西亞文,語言名稱，介面中稱文不稱語
what you see is what you get,所見即所得,
WhatsApp,WhatsApp,通訊軟體名稱
what-you-see-is-what-you-get,所見即所得,
white list,允許清單,
Whitehorse,白馬鎮,洲、國家/地區、城市名稱
whitelist,允許清單,
widget,小工具,
widget area,小工具區域,
width,寬度,
wildcard,萬用字元,
wildcard certificate,萬用字元憑證,
Winamac,威納馬克,洲、國家/地區、城市名稱
Windhoek,溫吐克,洲、國家/地區、城市名稱
window,視窗,
Windows,Windows,作業系統名稱
Winnipeg,溫尼柏,洲、國家/地區、城市名稱
wizard,精靈,
Wolof,沃洛夫文,語言名稱，介面中稱文不稱語
WooCommerce,WooCommerce,
WordCamp,WordCamp 活動,
WordPress,WordPress,
WordPress Core,WordPress 核心程式,
WordPress Multisite,WordPress 多站網路,Multisite 是舊版詞彙，與新版的 Network 統一譯文為「多站網路」
WordPress Network,WordPress 多站網路,Network 是新版詞彙，與舊版的 Multisite 統一譯文為「多站網路」
WordPress.com,WordPress.com,
WYSIWYG,WYSIWYG,What You See Is What You Get (所見即所得) 的縮寫
WYSIWYG,所見即所得,What You See Is What You Get (所見即所得) 的縮寫
Xhosa,廓薩文,語言名稱，介面中稱文不稱語
XML,XML,
XML-RPC,XML-RPC,
Yakutat,亞庫塔特,洲、國家/地區、城市名稱
Yakutsk,雅庫茨克,洲、國家/地區、城市名稱
Yancowinna,揚科維納,洲、國家/地區、城市名稱
Yangon,仰光,洲、國家/地區、城市名稱
Yap,雅浦島,洲、國家/地區、城市名稱
Yekaterinburg,耶卡特寧伯格,洲、國家/地區、城市名稱
Yellowknife,耶洛奈夫,洲、國家/地區、城市名稱
Yemeni rial,葉門里亞爾,貨幣名稱
Yerevan,葉里溫,洲、國家/地區、城市名稱
Yiddish,意第緒文,語言名稱，介面中稱文不稱語
Yoruba,優魯巴文,語言名稱，介面中稱文不稱語
